"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202310","7호선","사가정","15","0","11889","1664","23412","7289","54646","11822","68973","25524","42409","18051","28085","16385","25138","16288","26409","18584","24323","19441","22001","22027","21753","27561","24251","34271","25069","43427","25169","63052","18244","51479","12629","31098","10168","28021","8359","23794","4451","13103","639","4175","0","0","1","0","0","0","20231103"
"202310","7호선","상도","3","1","5601","1462","12839","5107","34235","8720","43413","23562","29101","17324","19228","18216","17104","15587","18714","15911","18502","15613","17863","17761","19018","17874","20909","21096","23094","27471","22733","43312","12939","29222","11533","20509","12233","17753","9244","16965","5549","11661","1022","2971","0","0","0","0","0","0","20231103"
"202310","7호선","상동","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20231103"
"202310","7호선","상봉(시외버스터미널)","492","16","11336","1486","20516","8619","53134","13028","70892","26910","38193","19181","24026","16263","22147","17101","24554","18671","24229","19832","22751","20178","23735","24357","27231","30588","29685","40354","31927","63582","23335","52782","17544","31935","16240","26826","12506","25527","7011","16236","1137","6859","1","35","0","0","0","0","20231103"
"202310","7호선","수락산","89","1","9726","815","21343","5476","46660","8905","47322","17518","29899","16858","22357","17120","20145","16389","21283","17300","21156","16252","20966","16045","21377","19895","21574","24827","20461","29825","19064","41233","11918","41053","8159","24854","6216","21211","4190","18631","2086","11863","251","4228","0","3","0","0","0","0","20231103"
"202310","7호선","숭실대입구(살피재)","14","0","6339","945","13006","4220","37711","8532","48576","33386","32225","22377","22401","33394","20879","24135","20693","18306","23038","23053","24398","22684","23802","21572","33341","26104","34270","32895","25291","49126","15946","35593","14979","23326","16037","21387","13657","20524","7668","13950","1290","3881","0","1","0","0","0","0","20231103"
"202310","7호선","신대방삼거리","60","1","10690","846","18913","4640","51291","8979","72247","17465","43225","14822","26247","13075","22500","13430","23555","15451","21459","17097","19191","18456","18611","22625","21075","27727","19677","37126","20620","60003","11698","44607","9718","27740","8491","26320","6829","22340","3480","14457","585","4908","0","1","0","0","0","0","20231103"
"202310","7호선","신풍","272","1","14886","1915","15425","6627","38238","11195","47961","20004","29057","13048","18526","11434","16824","11196","17370","11600","16039","12579","14599","13383","15720","16553","18094","20478","17450","28775","17895","39726","10341","28227","7472","18335","6133","17067","4727","14658","2276","8512","369","2612","2","423","0","0","0","0","20231103"
"202310","7호선","어린이대공원(세종대)","25","2","3595","896","8061","7518","20057","16893","32838","67920","24117","41759","18512","46276","20430","37405","22629","29910","27086","35438","32186","30266","35667","23794","44518","23844","55272","26394","50891","33278","28367","25169","20990","16913","21637","15954","18012","15684","10050","11425","1921","2837","0","1","0","0","0","0","20231103"
"202310","7호선","온수(성공회대입구)","160","1","8357","817","18093","3648","44200","10344","50096","19919","23616","14027","14028","7940","12651","8124","13338","9227","12044","10125","11161","10244","12769","12565","18210","15184","16330","22750","14241","38062","6373","29680","4983","17851","5007","14870","2887","13798","1794","9200","251","5019","2","923","0","0","0","0","20231103"
"202310","7호선","용마산(용마폭포공원)","11","1","4766","693","10751","2301","23213","4177","28313","10546","16225","7448","10416","7547","8936","5951","9047","7098","9135","8147","7679","8296","7943","9986","9279","12342","8361","14917","8280","21592","5394","17936","3250","11347","2453","10719","1863","9354","1053","5818","135","1887","0","0","0","0","0","0","20231103"
"202310","7호선","이수","26","0","5122","1293","9450","8769","27139","14412","42276","39857","29494","27185","20579","20810","20107","19355","22406","19839","24046","22206","23987","21972","25055","24575","27793","29257","32396","38819","41564","54673","25214","36413","23230","21089","24856","17430","21674","14691","11557","9352","1678","2849","0","34","0","0","0","0","20231103"
"202310","7호선","장승배기","27","1","6089","2131","11259","7501","26229","7725","38970","15875","24931","12000","15956","10083","14545","10180","14858","10855","14712","12526","13362","12375","13294","14928","15652","17926","15964","22387","15079","32424","8306","23024","6796","14907","6818","13729","5116","12217","2048","8137","391","2504","0","0","0","0","0","0","20231103"
"202310","7호선","장암","2","2","2113","177","7763","1675","18980","1357","10784","1724","4669","2262","2788","2644","2408","3034","2838","2843","3072","2005","3871","1648","4093","1663","4490","2042","4211","2499","3249","3926","1875","3610","1299","2118","764","1157","446","1103","151","653","16","231","0","0","0","0","0","0","20231103"
